日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウェイト,ニューインデックス区分,調整係数対象銘柄
20211130,小津産業,7487,卸売業,0.00%,TOPIX Small 2,○
20211130,コナカ,7494,小売業,0.00%,TOPIX Small 2,
20211130,高速,7504,卸売業,0.00%,TOPIX Small 2,
20211130,ハウスローゼ,7506,小売業,0.00%,TOPIX Small 2,○
20211130,ＧセブンＨＤ,7508,小売業,0.01%,TOPIX Small 1,
20211130,たけびし,7510,卸売業,0.00%,TOPIX Small 2,○
20211130,イオン北海,7512,小売業,0.01%,TOPIX Small 2,
20211130,コジマ,7513,小売業,0.00%,TOPIX Small 2,
20211130,ヒマラヤ,7514,小売業,0.00%,TOPIX Small 2,
20211130,コーナン商,7516,小売業,0.02%,TOPIX Small 1,
20211130,ネットワン,7518,情報・通信業,0.05%,TOPIX Mid400,
20211130,エコス,7520,小売業,0.00%,TOPIX Small 2,
20211130,ワタミ,7522,小売業,0.00%,TOPIX Small 1,
20211130,マルシェ,7524,小売業,0.00%,TOPIX Small 2,○
20211130,リックス,7525,卸売業,0.00%,TOPIX Small 2,○
20211130,システムソフト,7527,情報・通信業,0.00%,TOPIX Small 2,
20211130,パンパシフィックＨＤ,7532,小売業,0.14%,TOPIX Mid400,
20211130,丸文,7537,卸売業,0.00%,TOPIX Small 2,
20211130,西松屋チェ,7545,小売業,0.01%,TOPIX Small 1,
20211130,ゼンショーＨＤ,7550,小売業,0.05%,TOPIX Mid400,
20211130,ハピネット,7552,卸売業,0.00%,TOPIX Small 2,
20211130,幸楽苑ＨＤ,7554,小売業,0.00%,TOPIX Small 2,
20211130,ハークスレイ,7561,小売業,0.00%,TOPIX Small 2,
20211130,橋本総業ＨＤ,7570,卸売業,0.00%,TOPIX Small 2,○
20211130,日本ライフライン,7575,卸売業,0.01%,TOPIX Small 1,
20211130,サイゼリヤ,7581,小売業,0.02%,TOPIX Small 1,
20211130,タカショー,7590,卸売業,0.00%,TOPIX Small 2,
20211130,ＶＴＨＤ,7593,小売業,0.01%,TOPIX Small 1,
20211130,アルゴグラフ,7595,情報・通信業,0.01%,TOPIX Small 1,
20211130,魚力,7596,小売業,0.00%,TOPIX Small 2,○
20211130,ＩＤＯＭ,7599,卸売業,0.01%,TOPIX Small 1,
20211130,ＭＤＭ,7600,精密機器,0.00%,TOPIX Small 1,
20211130,ポプラ,7601,小売業,0.00%,TOPIX Small 2,
20211130,フジコーポレーション,7605,小売業,0.00%,TOPIX Small 2,
20211130,Ｕアローズ,7606,小売業,0.01%,TOPIX Small 1,
20211130,進和,7607,卸売業,0.00%,TOPIX Small 2,
20211130,ＳＫジャパン,7608,卸売業,0.00%,TOPIX Small 2,
20211130,ダイトロン,7609,卸売業,0.00%,TOPIX Small 2,
20211130,ハイデ日高,7611,小売業,0.01%,TOPIX Small 1,
20211130,シークス,7613,卸売業,0.01%,TOPIX Small 1,
20211130,ＹＵ－ＷＡ　ＣＨＤ,7615,小売業,0.00%,TOPIX Small 2,
20211130,コロワイド,7616,小売業,0.02%,TOPIX Mid400,
20211130,ＰＣＤＥＰＯＴ,7618,小売業,0.00%,TOPIX Small 2,
20211130,田中商事,7619,卸売業,0.00%,TOPIX Small 2,
20211130,オーハシテクニカ,7628,卸売業,0.00%,TOPIX Small 2,
20211130,壱番屋,7630,小売業,0.01%,TOPIX Small 1,
20211130,白銅,7637,卸売業,0.00%,TOPIX Small 2,
20211130,トップカルチャ,7640,小売業,0.00%,TOPIX Small 2,
20211130,ＰＬＡＮＴ,7646,小売業,0.00%,TOPIX Small 2,
20211130,スギＨＤ,7649,小売業,0.05%,TOPIX Mid400,
20211130,ダイコー通産,7673,卸売業,0.00%,TOPIX Small 2,
20211130,薬王堂ＨＤ,7679,小売業,0.00%,TOPIX Small 2,
20211130,島津製,7701,精密機器,0.23%,TOPIX Mid400,
20211130,ＪＭＳ,7702,精密機器,0.00%,TOPIX Small 2,
20211130,クボテック,7709,精密機器,0.00%,TOPIX Small 2,
20211130,長野計器,7715,精密機器,0.00%,TOPIX Small 2,
20211130,Ｖテク,7717,精密機器,0.01%,TOPIX Small 1,
20211130,スター精密,7718,機械,0.01%,TOPIX Small 1,
20211130,東京計器,7721,精密機器,0.00%,TOPIX Small 2,
20211130,愛知時,7723,精密機器,0.00%,TOPIX Small 2,○
