"SC","名称","市場","業種","時価総額(百万円)","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"5759","日本電解","東証マザ","非鉄金属","33024","7250000","0","0","39.05","6.23","116.65","730.9","455500","100","20211105","5480","20210625","1810"
"5781","東邦金属","東証二部","非鉄金属","2303","2338001","0","0","5.71","0.85","172.53","1161.15","98500","100","20211029","1580","20210517","948"
"5801","古河電気工業","東証一部","非鉄金属","156315","70666917","2.71","60","15.57","0.58","142.05","3786.37","221200","100","20210204","3115","20211220","2206"
"5802","住友電気工業","東証一部","非鉄金属","1159947","793940571","3.42","50","11.99","0.68","121.81","2150.92","146100","100","20210319","1802","20210106","1326"
"5803","フジクラ","東証一部","非鉄金属","159470","295863421","-","-","9.9","0.82","54.43","653.73","53900","100","20210916","723","20210521","451"
"5805","昭和電線ホールディングス","東証一部","非鉄金属","51758","30826861","2.38","40","6.59","0.99","254.7","1695.39","167900","100","20210906","2480","20210513","1464"
"5807","東京特殊電線","東証一部","非鉄金属","19936","6808788","2.05","60","10.01","1.13","292.6","2593.63","292800","100","20211027","3070","20210125","2405"
"5809","タツタ電線","東証一部","非鉄金属","32132","70156394","3.93","18","10.68","0.6","42.89","766.53","45800","100","20210114","830","20211126","450"
"5816","オーナンバ","東証二部","非鉄金属","5953","12558251","2.53","12","5.78","0.33","82.06","1421.7","47400","100","20210624","825","20210105","389"
"5817","JMACS","東証二部","非鉄金属","2027","4691555","2.31","10","8.61","0.45","50.15","959.24","43200","100","20210420","754","20211220","424"
"5819","カナレ電気","東証一部","非鉄金属","12194","7028060","1.61","28","17.22","0.81","100.75","2139.96","173500","100","20210125","1894","20210709","1660"
"5820","三ッ星","JQS","非鉄金属","4851","1266655","1.31","50","17.53","0.72","218.43","5308.78","383000","100","20210913","4685","20210107","1250"
"5821","平河ヒューテック","東証一部","非鉄金属","20836","17627800","2.28","27","11.07","0.59","106.78","2011.91","118200","100","20210112","1489","20211201","1095"
"5851","リョービ","東証一部","非鉄金属","34735","32646143","1.88","20","-","0.28","-18.54","3808.55","106400","100","20210319","1797","20211201","982"
"5852","アーレスティ","東証一部","非鉄金属","9309","26076717","2.8","10","-","0.16","-108.74","2194.59","35700","100","20210609","552","20210104","339"
"5856","エルアイイーエイチ","東証二部","小売","3895","74903800","3.85","2","12.35","1.19","4.21","43.81","5200","100","20210104","82","20211220","52"
"5857","アサヒホールディングス","東証一部","非鉄金属","158381","79708688","4.53","90","8.59","1.45","231.19","1374.94","198700","100","20210512","2425","20210104","1835"
"5900","ダイケン","JQS","金属製品","4388","5970480","2.04","15","17.05","0.34","43.12","2142.84","73500","100","20210316","828","20210105","694"
"5901","東洋製罐グループホールディングス","東証一部","金属製品","284413","202862162","3.28","46","10.1","0.4","138.77","3494.21","140200","100","20210616","1668","20210106","1042"
"5902","ホッカンホールディングス","東証一部","金属製品","19207","13469387","3.16","45","13.37","0.31","106.63","4643.45","142600","100","20210316","1648","20210709","1379"
"5903","シンポ","JQS","金属製品","7694","6140850","1.6","20","14.59","1.35","85.87","925.64","125300","100","20210628","1560","20210113","1101"
"5905","日本製罐","東証二部","金属製品","1684","1392000","2.48","30","16.25","0.33","74.46","3700.69","121000","100","20210205","1550","20210818","1050"
"5906","エムケー精工","JQS","金属製品","5505","15595050","2.27","8","9.34","0.41","37.79","852.3","35300","100","20210315","589","20211207","350"
"5907","JFEコンテイナー","東証二部","金属製品","11628","2867500","3.7","150","9.68","0.39","419.12","10493.75","405500","100","20210209","6770","20211202","4010"
"5909","コロナ","東証一部","金属製品","26350","29342454","3.12","28","37.34","0.36","24.05","2502.07","89800","100","20210329","1015","20211202","874"
"5911","横河ブリッジホールディングス","東証一部","金属製品","98420","45564802","3.24","70","8.91","0.86","242.37","2522.67","216000","100","20210924","2525","20210219","1896"
"5915","駒井ハルテック","東証一部","金属製品","10980","4972709","2.72","60","34.23","0.36","64.5","6126.93","220800","100","20210107","2744","20211111","1608"
"5918","瀧上工業","東証二部","金属製品","16455","2697600","1.64","100","266.84","0.36","22.86","16737.85","610000","100","20211020","6160","20210118","4855"
"5921","川岸工業","東証二部","金属製品","8526","3000000","2.81","80","11.74","0.33","242.08","8632.09","284200","100","20210323","3295","20210104","2396"
"5922","那須電機鉄工","東証二部","金属製品","10704","1200000","1.12","100","7.43","0.49","1200.17","18251.35","892000","100","20210120","19680","20210805","7880"
"5923","高田機工","東証一部","金属製品","6104","2237586","3.3","90","10.93","0.31","249.7","8780.5","272800","100","20210916","3000","20210126","2508"
"5928","アルメタックス","東証二部","金属製品","3157","11912515","3.4","9","10.13","0.32","26.16","823.6","26500","100","20211028","325","20210119","237"
"5929","三和ホールディングス","東証一部","金属製品","272349","231000000","2.88","34","12.06","1.37","97.78","861.94","117900","100","20210914","1606","20210105","1161"
"5930","文化シヤッター","東証一部","金属製品","74435","72196487","3.88","40","9.44","0.87","109.26","1183.51","103100","100","20210726","1211","20210119","921"
"5932","三協立山","東証一部","金属製品","22372","31554629","2.12","15","55.56","0.27","12.76","2591.61","70900","100","20210628","930","20211201","678"
